category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Skincare/Moisturizers/Moisturizers,MOISTURE BOUND Refreshing Hydra-Gel Oil-Free,AMOREPACIFIC,100.0,P232940,1.7 oz/ 50 mL,1161827,9146,4.2599,377,https://www.sephora.com/product/moisture-bound-refreshing-hydra-gel-oil-free-P232940?icid2=products
Skincare/Moisturizers/Moisturizers,TIME RESPONSE Skin Reserve Crème,AMOREPACIFIC,150.0,P437678,0.5 oz/ 15 mL,2150225,866,5,5,https://www.sephora.com/product/time-response-skin-reserve-creme-P437678?icid2=products
Skincare/Moisturizers/Moisturizers,The Essential Creme Fluid,AMOREPACIFIC,98.0,P416953,3 oz/ 90 mL,1930924,9214,4.1143,175,https://www.sephora.com/product/the-essential-creme-fluid-P416953?icid2=products
Makeup/Eye/Eyebrow,Brow Wiz,Anastasia Beverly Hills,23.0,P202633,0.003 oz/ 0.085 g,1056084,637349,4.4221,14529,https://www.sephora.com/product/brow-wiz-P202633?icid2=products
Makeup/Eye/Eye Sets,Best Brows Ever Kit,Anastasia Beverly Hills,30.0,P451601, - for blonde hair with cool/ash undertone,2289478,31680,4.5484,31,https://www.sephora.com/product/best-brows-ever-kit-P451601?skuId=2289502&icid2=products
Makeup/Lip/Lipstick,Liquid Lipstick,Anastasia Beverly Hills,20.0,P404831,0.11 oz / 3.2 g,2036408,545286,3.8433,3976,https://www.sephora.com/product/liquid-lipstick-P404831?icid2=products
Makeup/Eye/Eyebrow,DIPBROW™ Pomade,Anastasia Beverly Hills,21.0,P384060,0.14 oz/ 4 g,1578699,491486,4.6791,10298,https://www.sephora.com/product/dipbrow-pomade-P384060?icid2=products
Makeup/Eye/Eyebrow,Brow Definer,Anastasia Beverly Hills,23.0,P404827,0.007 oz/ 0.2 g,1790534,176332,4.0083,3381,https://www.sephora.com/product/brow-definer-P404827?icid2=products
Makeup/Eye/Eye Palettes,Soft Glam Eyeshadow Palette,Anastasia Beverly Hills,42.0,P589302,na,2036481,258877,4.7318,2513,https://www.sephora.com/product/soft-glam-eyeshadow-palette-P58930227?icid2=products
Makeup/Eye/Eyebrow,Clear Brow Gel,Anastasia Beverly Hills,22.0,P69304,0.26 oz/ 7.85 ml,1012855,155796,4.4797,3646,https://www.sephora.com/product/brow-gel-P69304?icid2=products
Makeup/Lip/Lip Sets,Undressed Lip Set,Anastasia Beverly Hills,40.0,P450064,na,2272383,14817,3.4649,385,https://www.sephora.com/product/undressed-lip-set-P450064?icid2=products
Makeup/Eye/Eye Palettes,Norvina Pro Pigment Palette Vol. 3,Anastasia Beverly Hills,60.0,P450846,na,2282739,22038,4.6486,74,https://www.sephora.com/product/norvina-pro-pigment-palette-vol-3-P450846?icid2=products
Makeup/Eye/Eye Palettes,Jackie Aina Eyeshadow Palette,Anastasia Beverly Hills,45.0,P449147,na,2262277,37776,4.8092,608,https://www.sephora.com/product/jackie-aina-eyeshadow-palette-P449147?icid2=products
