category,product_name,brand,price,Product_Id,size,item_num,love_count,rating,reviews_count,link
Fragrance/Value & Gift Sets/Perfume Gift Sets,Cashmere Mist Favorites Set,Donna Karan,120.0,P438536,na,2153641,277,5,1,https://www.sephora.com/product/cashmere-mist-favorites-set-P438536?icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,Gloss+ Semi-permanent Hair Color and Deep Conditioner,dpHUE,35.0,P409401,6.5 oz/ 192 mL,2204592,16100,3.8137,161,https://www.sephora.com/product/color-boosting-gloss-deep-conditioning-treatment-P409401?icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,Apple Cider Vinegar Hair Rinse,dpHUE,15.0,P407068,8.5 oz/ 250 mL,1815208,26618,4.0587,715,https://www.sephora.com/product/apple-cider-vinegar-hair-rinse-P407068?icid2=products
Hair/Value & Gift Sets,Cool Blonde & Gloss+ Trio,dpHUE,52.0,P450077,na,2295178,571,5,1,https://www.sephora.com/product/cool-blonde-gloss-trio-P450077?icid2=products
Hair/Value & Gift Sets,Apple Cider Vinegar Scalp Scrub & Hair Rinse Duo,dpHUE,50.0,P430958,na,2213692,8648,4.68,25,https://www.sephora.com/product/apple-cider-vinegar-scalp-scrub-hair-rinse-duo-P430958?icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,Root Touch-up Kit,dpHUE,30.0,P409350,Dark Blonde,2231579,3050,4.1628,43,https://www.sephora.com/product/root-touch-up-kit-P409350?skuId=2231603&icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,Apple Cider Vinegar Scalp Scrub,dpHUE,38.0,P425020,9 oz,2019826,6607,3.4744,78,https://www.sephora.com/product/apple-cider-vinegar-scalp-scrub-P425020?icid2=products
Hair/Shampoo & Conditioner/Shampoo,Cool Brunette Shampoo,dpHUE,26.0,P431190,8.5 oz/ 250 mL,2232270,1974,3.7857,14,https://www.sephora.com/product/cool-brunette-shampoo-P431190?icid2=products
Hair/Mini Size,Apple Cider Vinegar Hair Rinse Mini,dpHUE,15.0,P436709,3 oz/ 88 mL,2150969,0,4.8333,6,https://www.sephora.com/product/apple-cider-vinegar-hair-rinse-mini-P436709?icid2=products
Hair/Hair Styling & Treatments/Scalp & Hair Treatments,Apple Cider Vinegar Leave-In Hair Therapy,dpHUE,30.0,P407886,6 oz/ 177 mL,1815224,6119,4.0638,47,https://www.sephora.com/product/apple-cider-vinegar-leave-in-hair-therapy-P407886?icid2=products
Hair/Hair Styling & Treatments/Hair Masks,Apple Cider Vinegar Hair Masque,dpHUE,42.0,P436708,9 oz/ 266 mL,2150985,1651,4.4038,426,https://www.sephora.com/product/apple-cider-vinegar-hair-masque-P436708?icid2=products
Hair/Shampoo & Conditioner/Shampoo,Cool Blonde Shampoo,dpHUE,26.0,P407062,8.5 oz/ 250 mL,2231769,5954,3.8472,72,https://www.sephora.com/product/cool-blonde-shampoo-P407062?icid2=products
Hair/Shampoo & Conditioner/Conditioner,Cool Brunette Conditioner,dpHUE,26.0,P431191,6.5 oz/ 192 mL,2232288,1210,3.75,8,https://www.sephora.com/product/cool-brunette-conditioner-P431191?icid2=products
