product_name,brand,category,price,size,love_count,rating,reviews_count,category_1,category_2,category_3,size_oz,size_mL,size_g
B-FLAT Belly Firming Cream,MAELYS Cosmetics,Bath & Body/Body Care/Cellulite & Stretch Marks,49.0,3.38 oz/ 100 mL,1694,4.1,20,Bath & Body,Body Care,Cellulite & Stretch Marks,3.38,100,
B-Gorgeous Body Reshaping Set,MAELYS Cosmetics,Skincare/Value & Gift Sets,120.0,na,373,5.0,3,Skincare,Value & Gift Sets,no info,,,
B-Tight Lift & Firm Booty Mask,MAELYS Cosmetics,Bath & Body/Body Moisturizers/Body Lotions & Body Oils,49.0,3.39 oz/ 100 mL,9542,3.6951,82,Bath & Body,Body Moisturizers,Body Lotions & Body Oils,3.39,100,
B-PERKY Lift & Firm Breast Mask,MAELYS Cosmetics,Skincare/Masks/Face Masks,39.0,3.38 oz/ 100 mL,788,4.4286,7,Skincare,Masks,Face Masks,3.38,100,
No.04 Bois de Balincourt Perfume Oil,Maison Louis Marie,Fragrance/Women/Lotions & Oils,57.0,0.50 oz/ 15mL,6894,4.4054,74,Fragrance,Women,Lotions & Oils,0.50,,
No.04 Bois de Balincourt Eau de Parfum,Maison Louis Marie,Fragrance/Women/Perfume,28.0,1.7 oz/ 50 mL,3380,3.9792,48,Fragrance,Women,Perfume,1.7,50,
No. 04 Bois de Balincourt & Votive Set,Maison Louis Marie,Fragrance/Value & Gift Sets/Perfume Gift Sets,110.0,na,849,5.0,3,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
No.04 Bois de Balincourt Candle,Maison Louis Marie,Bath & Body/Candles & Home Scents,34.0,8 oz/ 236 g,3081,4.0556,18,Bath & Body,Candles & Home Scents,no info,8,,236
Perfume Oil Discovery Set,Maison Louis Marie,Fragrance/Value & Gift Sets/Perfume Gift Sets,48.0,5 x 0.50oz/ 3mL,2785,4.1176,17,Fragrance,Value & Gift Sets,Perfume Gift Sets,,,
No.04 Bois de Balincourt Eau de Parfum Travel Spray,Maison Louis Marie,Fragrance/Women/Rollerballs & Travel Size,28.0,0.2 oz/ 6 mL,2216,3.5455,22,Fragrance,Women,Rollerballs & Travel Size,0.2,6,
